u,y
-5.00000000,-715.50004883
-4.52693319,-705.85716553
-4.09862471,-696.60003662
-3.71083999,-687.85722900
-3.35974479,-679.50007324
-3.04186797,-665.61432129
-2.75406647,-650.44291260
-2.49349499,-634.50003174
-2.25757694,-618.81431641
-2.04397988,-603.12862061
-1.85059214,-585.00006104
-1.67550135,-565.71429810
-1.51697648,-541.28571777
-1.37345016,-518.27149170
-1.24350345,-491.65718018
-1.12585139,-465.81429810
-1.01933074,-428.14290161
-0.92288840,-399.60001587
-0.83557081,-369.12859680
-0.75651461,-333.25716675
-0.68493825,-299.57145996
-0.62013388,-254.70002533
-0.56146091,-215.22859863
-0.50833923,-180.00001526
-0.46024352,-134.10000336
-0.41669834,-95.65715134
-0.37727308,-55.54285873
-0.34157801,0.00000000
-0.30926016,0.00000000
-0.28000000,0.00000000
0.28000000,0.00000000
0.30926016,0.00000000
0.34157801,0.00000000
0.37727308,60.17143173
0.41669834,107.87143921
0.46024352,145.54286987
0.50833923,187.84287506
0.56146091,226.41430878
0.62013388,265.88574097
0.68493825,305.61430481
0.75651461,337.88574524
0.83557081,367.71431091
0.92288840,407.18574036
1.01933074,434.18576477
1.12585139,464.27143799
1.24350345,491.78575134
1.37345016,516.34291504
1.51697648,539.87143066
1.67550135,559.41432739
1.85059214,582.17148193
2.04397988,596.31433350
2.25757694,617.91431519
2.49349499,630.00005615
2.75406647,644.27146729
3.04186797,656.48577759
3.35974479,671.01433594
3.71083999,687.85722656
4.09862471,695.44290161
4.52693319,706.37145264
5.00000000,715.88576416
