t,u,y
0.00000000,1.59681749,552.85717773
0.02000000,1.59681749,552.85717773
0.04000000,1.59681749,552.85717773
0.06000000,1.59681749,552.85717773
0.08000000,1.59681749,552.85717773
0.10000000,1.59681749,552.85717773
0.12000000,1.59681749,552.85717773
0.14000000,1.59681749,552.85717773
0.16000000,1.59681749,552.85717773
0.18000000,1.59681749,546.42858887
0.20000000,1.59681749,552.85717773
0.22000000,1.59681749,552.85717773
0.24000000,1.59681749,552.85717773
0.26000000,1.59681749,552.85717773
0.28000000,1.59681749,546.42858887
0.30000000,1.59681749,546.42858887
0.32000000,1.59681749,552.85717773
0.34000000,1.59681749,552.85717773
0.36000000,1.59681749,552.85717773
0.38000000,1.59681749,552.85717773
0.40000000,1.59681749,552.85717773
0.42000000,1.59681749,552.85717773
0.44000000,1.59681749,552.85717773
0.46000000,1.59681749,552.85717773
0.48000000,1.59681749,552.85717773
0.50000000,1.59681749,552.85717773
0.52000000,1.59681749,552.85717773
0.54000000,1.59681749,552.85717773
0.56000000,1.59681749,552.85717773
0.58000000,1.59681749,552.85717773
0.60000000,1.59681749,546.42858887
0.62000000,1.59681749,552.85717773
0.64000000,1.59681749,552.85717773
0.66000000,1.59681749,552.85717773
0.68000000,1.59681749,552.85717773
0.70000000,1.59681749,552.85717773
0.72000000,1.59681749,552.85717773
0.74000000,1.59681749,552.85717773
0.76000000,1.59681749,552.85717773
0.78000000,1.59681749,552.85717773
0.80000000,1.59681749,552.85717773
0.82000000,1.59681749,559.28576660
0.84000000,1.59681749,552.85717773
0.86000000,1.59681749,552.85717773
0.88000000,1.59681749,546.42858887
0.90000000,1.59681749,552.85717773
0.92000000,1.59681749,552.85717773
0.94000000,1.59681749,552.85717773
0.96000000,1.59681749,559.28576660
0.98000000,1.59681749,546.42858887
1.00000000,1.59681749,552.85717773
1.02000000,1.59681749,552.85717773
1.04000000,1.59681749,552.85717773
1.06000000,1.59681749,546.42858887
1.08000000,1.59681749,552.85717773
1.10000000,1.59681749,552.85717773
1.12000000,1.59681749,552.85717773
1.14000000,1.59681749,552.85717773
1.16000000,1.59681749,552.85717773
1.18000000,1.59681749,552.85717773
1.20000000,1.59681749,546.42858887
1.22000000,1.59681749,552.85717773
1.24000000,1.59681749,552.85717773
1.26000000,1.59681749,546.42858887
1.28000000,1.59681749,546.42858887
1.30000000,1.59681749,552.85717773
1.32000000,1.59681749,552.85717773
1.34000000,1.59681749,546.42858887
1.36000000,1.59681749,552.85717773
1.38000000,1.59681749,552.85717773
1.40000000,1.59681749,552.85717773
1.42000000,1.59681749,546.42858887
1.44000000,1.59681749,552.85717773
1.46000000,1.59681749,552.85717773
1.48000000,1.59681749,552.85717773
1.50000000,1.59681749,552.85717773
1.52000000,1.59681749,546.42858887
1.54000000,1.59681749,546.42858887
1.56000000,1.59681749,552.85717773
1.58000000,1.59681749,552.85717773
1.60000000,1.59681749,552.85717773
1.62000000,1.59681749,546.42858887
1.64000000,1.59681749,552.85717773
1.66000000,1.59681749,546.42858887
1.68000000,1.59681749,552.85717773
1.70000000,1.59681749,552.85717773
1.72000000,1.59681749,552.85717773
1.74000000,1.59681749,546.42858887
1.76000000,1.59681749,552.85717773
