u,y
-5.00000000,-668.82861572
-4.52693319,-664.07146118
-4.09862471,-656.87148926
-3.71083999,-652.37148926
-3.35974479,-654.42863037
-3.04186797,-636.04287964
-2.75406647,-631.41432739
-2.49349499,-617.14289429
-2.25757694,-605.44291260
-2.04397988,-586.92863770
-1.85059214,-573.94288818
-1.67550135,-556.71433105
-1.51697648,-532.80004883
-1.37345016,-507.08575317
-1.24350345,-484.07146179
-1.12585139,-457.58573059
-1.01933074,-434.44290649
-0.92288840,-407.44288269
-0.83557081,-372.47146118
-0.75651461,-340.07146423
-0.68493825,-299.82860229
-0.62013388,-263.18574707
-0.56146091,-239.91430603
-0.50833923,-180.00001526
-0.46024352,-142.20000610
-0.41669834,-101.05714935
-0.37727308,-60.04285973
-0.34157801,0.00000000
-0.30926016,0.00000000
-0.28000000,0.00000000
0.28000000,0.00000000
0.30926016,0.00000000
0.34157801,0.00000000
0.37727308,60.04285973
0.41669834,90.12857910
0.46024352,119.82857880
0.50833923,180.12858673
0.56146091,204.17143707
0.62013388,240.04287750
0.68493825,281.18572449
0.75651461,316.80002319
0.83557081,349.84287781
0.92288840,384.68575073
1.01933074,414.25716797
1.12585139,442.02861938
1.24350345,468.77144897
1.37345016,495.25717529
1.51697648,519.81435303
1.67550135,540.00000732
1.85059214,563.14288330
2.04397988,583.45719971
2.25757694,600.30004150
2.49349499,619.58574707
2.75406647,635.01431641
3.04186797,645.81432861
3.35974479,657.51434082
3.71083999,668.57147217
4.09862471,679.24292969
4.52693319,688.50008545
5.00000000,698.40002441
