t,r,y,u
0.00000000,0.00000000,0.00000000,1.00714254
0.02000000,0.00000000,7.97142887,0.00000000
0.04000000,0.00000000,12.98571491,-1.99285722
0.06000000,0.00000000,12.60000038,-3.24642873
0.08000000,0.00000000,7.97142887,-3.15000010
0.10000000,0.00000000,1.02857149,-1.99285722
0.12000000,0.00000000,-6.55714321,-0.25714287
0.14000000,0.00000000,-11.44285774,1.63928580
0.16000000,0.00000000,-11.57142925,2.86071444
0.18000000,0.00000000,-7.71428633,2.89285731
0.20000000,0.00000000,-1.28571439,1.92857158
0.22000000,0.00000000,5.65714312,0.32142860
0.24000000,0.00000000,10.28571510,-1.41428578
0.26000000,0.00000000,10.54285812,-2.57142878
0.28000000,0.00000000,6.94285774,-2.63571453
0.30000000,0.00000000,1.02857149,-1.73571444
0.32000000,0.00000000,-5.40000010,-0.25714287
0.34000000,0.00000000,-9.51428604,1.35000002
0.36000000,0.00000000,-9.25714302,2.37857151
0.38000000,0.00000000,-5.65714312,2.31428576
0.40000000,0.00000000,-0.25714287,1.41428578
0.42000000,0.00000000,5.65714312,0.06428572
0.44000000,0.00000000,9.25714302,-1.41428578
0.46000000,0.00000000,9.12857151,-2.31428576
0.48000000,0.00000000,5.91428614,-2.28214288
0.50000000,30.00000000,0.77142859,-1.47857153
0.52000000,30.00000000,-1.02857149,4.69999981
0.54000000,30.00000000,4.11428595,4.69999981
0.56000000,30.00000000,12.85714340,4.69999981
0.58000000,30.00000000,23.91428757,4.28571415
0.60000000,30.00000000,35.61428833,1.52142811
0.62000000,30.00000000,44.74285889,-1.40357208
0.64000000,30.00000000,47.82857513,-3.68571472
0.66000000,30.00000000,44.87142944,-4.45714378
0.68000000,30.00000000,37.54285812,-3.71785736
0.70000000,30.00000000,28.41428757,-1.88571453
0.72000000,30.00000000,20.18571472,0.39642811
0.74000000,30.00000000,15.94285774,2.45357132
0.76000000,30.00000000,17.35714340,3.51428556
0.78000000,30.00000000,22.88571548,3.16071415
0.80000000,30.00000000,30.47142982,1.77857113
0.82000000,30.00000000,37.80000305,-0.11785746
0.84000000,30.00000000,41.65714645,-1.95000076
0.86000000,30.00000000,41.14286041,-2.91428661
0.88000000,30.00000000,36.64286041,-2.78571510
0.90000000,30.00000000,30.08571625,-1.66071510
0.92000000,30.00000000,23.27142906,-0.02142906
0.94000000,30.00000000,19.02857208,1.68214273
0.96000000,30.00000000,19.54285812,2.74285698
0.98000000,30.00000000,23.91428757,2.61428547
1.00000000,30.00000000,30.08571625,1.52142811
1.02000000,30.00000000,36.12857437,-0.02142906
1.04000000,30.00000000,39.60000229,-1.53214359
1.06000000,30.00000000,38.82857513,-2.40000057
1.08000000,30.00000000,34.97143173,-2.20714378
1.10000000,30.00000000,29.57143021,-1.24285793
1.12000000,30.00000000,24.42857361,0.10714245
1.14000000,30.00000000,21.85714340,1.39285660
1.16000000,30.00000000,22.62857246,2.03571415
1.18000000,30.00000000,26.10000229,1.84285688
1.20000000,30.00000000,31.11428833,0.97499943
1.22000000,30.00000000,35.35714340,-0.27857208
1.24000000,30.00000000,37.02857208,-1.33928585
1.26000000,30.00000000,36.12857437,-1.75714302
1.28000000,30.00000000,32.91428757,-1.53214359
1.30000000,30.00000000,28.54285812,-0.72857189
1.32000000,30.00000000,24.94285774,0.36428547
1.34000000,30.00000000,23.91428757,1.26428556
1.36000000,30.00000000,25.45714378,1.52142811
1.38000000,30.00000000,28.80000114,1.13571405
1.40000000,30.00000000,32.91428757,0.29999971
1.42000000,30.00000000,35.48571777,-0.72857189
1.44000000,30.00000000,35.74285889,-1.37142944
1.46000000,30.00000000,33.68571472,-1.43571472
1.48000000,30.00000000,30.34285927,-0.92142868
1.50000000,30.00000000,26.48571587,-0.08571482
1.52000000,30.00000000,24.42857361,0.87857103
1.54000000,30.00000000,24.68571472,1.39285660
1.56000000,30.00000000,26.87142944,1.32857132
1.58000000,30.00000000,30.34285927,0.78214264
1.60000000,30.00000000,33.42857361,-0.08571482
1.62000000,30.00000000,34.45714569,-0.85714340
1.64000000,30.00000000,33.30000305,-1.11428642
1.66000000,30.00000000,30.85714531,-0.82500076
1.68000000,30.00000000,28.02857208,-0.21428633
1.70000000,30.00000000,26.22857285,0.49285698
1.72000000,30.00000000,26.48571587,0.94285679
1.74000000,30.00000000,28.02857208,0.87857103
1.76000000,30.00000000,30.60000229,0.49285698
1.78000000,30.00000000,32.52857208,-0.15000057
1.80000000,30.00000000,32.78571701,-0.63214302
1.82000000,30.00000000,31.75714493,-0.69642925
1.84000000,30.00000000,30.08571625,-0.43928623
1.86000000,30.00000000,28.28571510,-0.02142906
1.88000000,30.00000000,27.38571548,0.42857122
1.90000000,30.00000000,28.28571510,0.65357113
1.92000000,30.00000000,29.82857323,0.42857122
1.94000000,30.00000000,31.37142944,0.04285669
1.96000000,30.00000000,32.14286041,-0.34285736
1.98000000,30.00000000,32.14286041,-0.53571510
2.00000000,30.00000000,31.50000191,-0.53571510
2.02000000,30.00000000,30.08571625,-0.37500048
2.04000000,30.00000000,28.80000114,-0.02142906
2.06000000,30.00000000,28.28571510,0.29999971
2.08000000,30.00000000,28.92857361,0.42857122
2.10000000,30.00000000,30.08571625,0.26785660
2.12000000,30.00000000,30.72857285,-0.02142906
2.14000000,30.00000000,30.60000229,-0.18214321
2.16000000,30.00000000,30.34285927,-0.15000057
2.18000000,30.00000000,29.70000076,-0.08571482
2.20000000,30.00000000,29.70000076,0.07499981
2.22000000,30.00000000,30.08571625,0.07499981
2.24000000,30.00000000,30.08571625,-0.02142906
2.26000000,30.00000000,30.08571625,-0.02142906
2.28000000,30.00000000,30.08571625,-0.02142906
2.30000000,30.00000000,30.08571625,-0.02142906
2.32000000,30.00000000,29.95714378,-0.02142906
2.34000000,30.00000000,30.08571625,0.01071405
2.36000000,30.00000000,30.08571625,-0.02142906
2.38000000,30.00000000,30.08571625,-0.02142906
2.40000000,30.00000000,30.08571625,-0.02142906
2.42000000,30.00000000,30.08571625,-0.02142906
2.44000000,30.00000000,29.95714378,-0.02142906
2.46000000,30.00000000,30.08571625,0.01071405
2.48000000,30.00000000,30.08571625,-0.02142906
