t,u,y
0.00000000,0.89712590,366.42858887
0.02000000,0.89712590,366.42858887
0.04000000,0.89712590,366.42858887
0.06000000,0.89712590,372.85717773
0.08000000,0.89712590,379.28573608
0.10000000,0.89712590,372.85717773
0.12000000,0.89712590,385.71432495
0.14000000,0.89712590,379.28573608
0.16000000,0.89712590,385.71432495
0.18000000,0.89712590,385.71432495
0.20000000,0.89712590,385.71432495
0.22000000,0.89712590,385.71432495
0.24000000,0.89712590,385.71432495
0.26000000,0.89712590,385.71432495
0.28000000,0.89712590,385.71432495
0.30000000,0.89712590,392.14288330
0.32000000,0.89712590,385.71432495
0.34000000,0.89712590,392.14288330
0.36000000,0.89712590,392.14288330
0.38000000,0.89712590,392.14288330
0.40000000,0.89712590,385.71432495
0.42000000,0.89712590,392.14288330
0.44000000,0.89712590,392.14288330
0.46000000,0.89712590,392.14288330
0.48000000,0.89712590,392.14288330
0.50000000,0.89712590,398.57144165
0.52000000,0.89712590,385.71432495
0.54000000,0.89712590,398.57144165
0.56000000,0.89712590,392.14288330
0.58000000,0.89712590,392.14288330
0.60000000,0.89712590,392.14288330
0.62000000,0.89712590,392.14288330
0.64000000,0.89712590,398.57144165
0.66000000,0.89712590,392.14288330
0.68000000,0.89712590,398.57144165
0.70000000,0.89712590,398.57144165
0.72000000,0.89712590,398.57144165
0.74000000,0.89712590,392.14288330
0.76000000,0.89712590,392.14288330
0.78000000,0.89712590,405.00003052
0.80000000,0.89712590,398.57144165
0.82000000,0.89712590,398.57144165
0.84000000,0.89712590,398.57144165
0.86000000,0.89712590,398.57144165
0.88000000,0.89712590,405.00003052
0.90000000,0.89712590,398.57144165
0.92000000,0.89712590,398.57144165
0.94000000,0.89712590,398.57144165
0.96000000,0.89712590,405.00003052
0.98000000,0.89712590,398.57144165
1.00000000,0.89712590,405.00003052
1.02000000,0.89712590,398.57144165
1.04000000,0.89712590,398.57144165
1.06000000,0.89712590,405.00003052
1.08000000,0.89712590,398.57144165
1.10000000,0.89712590,398.57144165
1.12000000,0.89712590,398.57144165
1.14000000,0.89712590,405.00003052
1.16000000,0.89712590,405.00003052
1.18000000,0.89712590,398.57144165
1.20000000,0.89712590,405.00003052
1.22000000,0.89712590,405.00003052
1.24000000,0.89712590,405.00003052
1.26000000,0.89712590,405.00003052
1.28000000,0.89712590,405.00003052
1.30000000,0.89712590,405.00003052
1.32000000,0.89712590,405.00003052
1.34000000,0.89712590,405.00003052
1.36000000,0.89712590,411.42858887
1.38000000,0.89712590,405.00003052
1.40000000,0.89712590,405.00003052
1.42000000,0.89712590,411.42858887
1.44000000,0.89712590,405.00003052
1.46000000,0.89712590,405.00003052
1.48000000,0.89712590,411.42858887
1.50000000,0.89712590,405.00003052
1.52000000,0.89712590,405.00003052
1.54000000,0.89712590,405.00003052
1.56000000,0.89712590,405.00003052
1.58000000,0.89712590,411.42858887
1.60000000,0.67933273,405.00003052
1.62000000,0.67933273,398.57144165
1.64000000,0.67933273,392.14288330
1.66000000,0.67933273,392.14288330
1.68000000,0.67933273,379.28573608
1.70000000,0.67933273,366.42858887
1.72000000,0.67933273,366.42858887
1.74000000,0.67933273,360.00003052
1.76000000,0.67933273,347.14288330
1.78000000,0.67933273,347.14288330
1.80000000,0.67933273,340.71432495
1.82000000,0.67933273,334.28573608
1.84000000,0.67933273,327.85717773
1.86000000,0.67933273,327.85717773
1.88000000,0.67933273,321.42858887
1.90000000,0.67933273,321.42858887
1.92000000,0.67933273,315.00003052
1.94000000,0.67933273,308.57144165
1.96000000,0.67933273,315.00003052
1.98000000,0.67933273,302.14288330
2.00000000,0.67933273,308.57144165
2.02000000,0.67933273,308.57144165
2.04000000,0.67933273,302.14288330
2.06000000,0.67933273,295.71432495
2.08000000,0.89712590,302.14288330
2.10000000,0.89712590,295.71432495
2.12000000,0.89712590,315.00003052
2.14000000,0.89712590,315.00003052
2.16000000,0.89712590,327.85717773
2.18000000,0.89712590,334.28573608
2.20000000,0.89712590,340.71432495
2.22000000,0.89712590,347.14288330
2.24000000,0.89712590,353.57144165
2.26000000,0.89712590,353.57144165
2.28000000,0.89712590,360.00003052
2.30000000,0.89712590,366.42858887
2.32000000,0.89712590,366.42858887
2.34000000,0.89712590,366.42858887
2.36000000,0.89712590,372.85717773
2.38000000,0.89712590,372.85717773
2.40000000,0.89712590,372.85717773
2.42000000,0.89712590,385.71432495
2.44000000,0.89712590,379.28573608
2.46000000,0.89712590,379.28573608
2.48000000,0.89712590,385.71432495
2.50000000,0.89712590,385.71432495
2.52000000,0.89712590,379.28573608
2.54000000,0.89712590,385.71432495
2.56000000,0.67933273,385.71432495
2.58000000,0.67933273,385.71432495
2.60000000,0.67933273,372.85717773
