t,u,y
0.00000000,0.36324835,135.00000000
0.02000000,0.36324835,128.57144165
0.04000000,0.36324835,135.00000000
0.06000000,0.36324835,128.57144165
0.08000000,0.36324835,128.57144165
0.10000000,0.36324835,122.14286804
0.12000000,0.36324835,128.57144165
0.14000000,0.36324835,128.57144165
0.16000000,0.36324835,128.57144165
0.18000000,0.36324835,128.57144165
0.20000000,0.36324835,122.14286804
0.22000000,0.36324835,122.14286804
0.24000000,0.36324835,128.57144165
0.26000000,0.36324835,122.14286804
0.28000000,0.36324835,122.14286804
0.30000000,0.36324835,115.71428680
0.32000000,0.36324835,115.71428680
0.34000000,0.36324835,115.71428680
0.36000000,0.36324835,115.71428680
0.38000000,0.36324835,115.71428680
0.40000000,0.36324835,122.14286804
0.42000000,0.36324835,115.71428680
0.44000000,0.36324835,115.71428680
0.46000000,0.36324835,109.28572845
0.48000000,0.36324835,115.71428680
0.50000000,0.36324835,115.71428680
0.52000000,0.36324835,122.14286804
0.54000000,0.36324835,122.14286804
0.56000000,0.36324835,115.71428680
0.58000000,0.36324835,128.57144165
0.60000000,0.36324835,128.57144165
0.62000000,0.36324835,122.14286804
0.64000000,0.36324835,122.14286804
0.66000000,0.36324835,115.71428680
0.68000000,0.36324835,122.14286804
0.70000000,0.36324835,115.71428680
0.72000000,0.36324835,109.28572845
0.74000000,0.36324835,122.14286804
0.76000000,0.36324835,115.71428680
0.78000000,0.36324835,122.14286804
0.80000000,0.36324835,128.57144165
0.82000000,0.36324835,122.14286804
0.84000000,0.36324835,122.14286804
0.86000000,0.36324835,115.71428680
0.88000000,0.36324835,122.14286804
0.90000000,0.36324835,115.71428680
0.92000000,0.36324835,115.71428680
0.94000000,0.36324835,122.14286804
0.96000000,0.36324835,122.14286804
0.98000000,0.36324835,122.14286804
1.00000000,0.36324835,122.14286804
1.02000000,0.36324835,122.14286804
1.04000000,0.36324835,115.71428680
1.06000000,0.36324835,115.71428680
1.08000000,0.36324835,122.14286804
1.10000000,0.36324835,115.71428680
1.12000000,0.36324835,122.14286804
1.14000000,0.36324835,122.14286804
1.16000000,0.36324835,122.14286804
1.18000000,0.36324835,122.14286804
1.20000000,0.36324835,122.14286804
1.22000000,0.36324835,115.71428680
1.24000000,0.36324835,115.71428680
1.26000000,0.36324835,122.14286804
1.28000000,0.36324835,122.14286804
1.30000000,0.36324835,115.71428680
1.32000000,0.36324835,128.57144165
1.34000000,0.36324835,115.71428680
1.36000000,0.36324835,122.14286804
1.38000000,0.36324835,115.71428680
1.40000000,0.36324835,122.14286804
1.42000000,0.36324835,115.71428680
1.44000000,0.36324835,122.14286804
1.46000000,0.36324835,122.14286804
1.48000000,0.36324835,122.14286804
1.50000000,0.36324835,122.14286804
1.52000000,0.36324835,115.71428680
1.54000000,0.36324835,122.14286804
1.56000000,0.36324835,115.71428680
1.58000000,0.36324835,122.14286804
1.60000000,0.36324835,115.71428680
1.62000000,0.36324835,122.14286804
1.64000000,0.36324835,122.14286804
1.66000000,0.36324835,122.14286804
1.68000000,0.36324835,122.14286804
1.70000000,0.36324835,115.71428680
1.72000000,0.36324835,115.71428680
1.74000000,0.36324835,122.14286804
1.76000000,0.36324835,122.14286804
1.78000000,0.36324835,115.71428680
1.80000000,0.36324835,122.14286804
1.82000000,0.36324835,122.14286804
1.84000000,0.36324835,122.14286804
1.86000000,0.36324835,122.14286804
1.88000000,0.36324835,115.71428680
1.90000000,0.36324835,115.71428680
1.92000000,0.36324835,122.14286804
1.94000000,0.36324835,122.14286804
1.96000000,0.36324835,115.71428680
1.98000000,0.36324835,122.14286804
2.00000000,0.36324835,122.14286804
2.02000000,0.36324835,122.14286804
2.04000000,0.36324835,122.14286804
2.06000000,0.36324835,115.71428680
2.08000000,0.36324835,115.71428680
2.10000000,0.36324835,122.14286804
2.12000000,0.36324835,122.14286804
2.14000000,0.36324835,115.71428680
2.16000000,0.36324835,122.14286804
2.18000000,0.36324835,122.14286804
2.20000000,0.36324835,122.14286804
2.22000000,0.36324835,115.71428680
2.24000000,0.36324835,122.14286804
2.26000000,0.36324835,115.71428680
2.28000000,0.36324835,122.14286804
2.30000000,0.36324835,122.14286804
2.32000000,0.36324835,115.71428680
2.34000000,0.36324835,122.14286804
2.36000000,0.36324835,122.14286804
2.38000000,0.36324835,122.14286804
2.40000000,0.36324835,115.71428680
2.42000000,0.36324835,122.14286804
2.44000000,0.36324835,115.71428680
2.46000000,0.36324835,122.14286804
2.48000000,0.36324835,122.14286804
2.50000000,0.36324835,122.14286804
2.52000000,0.36324835,115.71428680
2.54000000,0.36324835,122.14286804
2.56000000,0.36324835,122.14286804
2.58000000,0.36324835,115.71428680
2.60000000,0.36324835,122.14286804
2.62000000,0.36324835,115.71428680
2.64000000,0.36324835,122.14286804
2.66000000,0.36324835,122.14286804
2.68000000,0.36324835,115.71428680
2.70000000,0.36324835,122.14286804
2.72000000,0.36324835,122.14286804
2.74000000,0.36324835,122.14286804
2.76000000,0.36324835,115.71428680
2.78000000,0.36324835,122.14286804
2.80000000,0.36324835,115.71428680
2.82000000,0.36324835,122.14286804
2.84000000,0.36324835,122.14286804
2.86000000,0.36324835,115.71428680
2.88000000,0.36324835,122.14286804
2.90000000,0.36324835,122.14286804
2.92000000,0.36324835,122.14286804
2.94000000,0.36324835,115.71428680
2.96000000,0.36324835,122.14286804
2.98000000,0.36324835,115.71428680
3.00000000,0.36324835,122.14286804
3.02000000,0.36324835,122.14286804
3.04000000,0.36324835,122.14286804
3.06000000,0.36324835,115.71428680
3.08000000,0.36324835,122.14286804
3.10000000,0.36324835,122.14286804
3.12000000,0.36324835,115.71428680
3.14000000,0.36324835,122.14286804
3.16000000,0.36324835,115.71428680
3.18000000,0.36324835,122.14286804
3.20000000,0.36324835,122.14286804
3.22000000,0.36324835,122.14286804
3.24000000,0.36324835,122.14286804
3.26000000,0.36324835,115.71428680
3.28000000,0.36324835,122.14286804
3.30000000,0.36324835,115.71428680
3.32000000,0.36324835,122.14286804
3.34000000,0.36324835,115.71428680
3.36000000,0.36324835,122.14286804
3.38000000,0.36324835,122.14286804
3.40000000,0.36324835,115.71428680
3.42000000,0.36324835,115.71428680
3.44000000,0.36324835,122.14286804
3.46000000,0.36324835,122.14286804
3.48000000,0.36324835,115.71428680
3.50000000,0.36324835,122.14286804
3.52000000,0.36324835,115.71428680
3.54000000,0.36324835,122.14286804
3.56000000,0.36324835,122.14286804
3.58000000,0.36324835,122.14286804
3.60000000,0.36324835,122.14286804
3.62000000,0.36324835,115.71428680
3.64000000,0.36324835,122.14286804
3.66000000,0.36324835,115.71428680
3.68000000,0.36324835,122.14286804
3.70000000,0.36324835,115.71428680
3.72000000,0.36324835,122.14286804
3.74000000,0.36324835,122.14286804
3.76000000,0.36324835,122.14286804
3.78000000,0.36324835,122.14286804
3.80000000,0.36324835,115.71428680
3.82000000,0.36324835,122.14286804
3.84000000,0.36324835,115.71428680
3.86000000,0.36324835,122.14286804
3.88000000,0.36324835,115.71428680
3.90000000,0.36324835,122.14286804
3.92000000,0.36324835,122.14286804
3.94000000,0.36324835,122.14286804
3.96000000,0.36324835,115.71428680
3.98000000,0.36324835,122.14286804
4.00000000,0.36324835,122.14286804
4.02000000,0.36324835,115.71428680
4.04000000,0.36324835,122.14286804
4.06000000,0.36324835,115.71428680
4.08000000,0.36324835,115.71428680
4.10000000,0.36324835,122.14286804
4.12000000,0.36324835,122.14286804
4.14000000,0.36324835,115.71428680
4.16000000,0.36324835,122.14286804
4.18000000,0.36324835,115.71428680
4.20000000,0.36324835,122.14286804
4.22000000,0.36324835,122.14286804
4.24000000,0.36324835,115.71428680
4.26000000,0.36324835,122.14286804
4.28000000,0.36324835,122.14286804
4.30000000,0.36324835,122.14286804
4.32000000,0.36324835,115.71428680
4.34000000,0.36324835,122.14286804
4.36000000,0.36324835,115.71428680
4.38000000,0.36324835,122.14286804
4.40000000,0.36324835,122.14286804
4.42000000,0.36324835,115.71428680
4.44000000,0.36324835,122.14286804
4.46000000,0.36324835,122.14286804
4.48000000,0.36324835,122.14286804
4.50000000,0.36324835,115.71428680
4.52000000,0.36324835,122.14286804
4.54000000,0.36324835,122.14286804
4.56000000,0.36324835,115.71428680
4.58000000,0.36324835,122.14286804
4.60000000,0.36324835,122.14286804
4.62000000,0.36324835,115.71428680
4.64000000,0.36324835,122.14286804
4.66000000,0.36324835,115.71428680
4.68000000,0.36324835,122.14286804
4.70000000,0.36324835,122.14286804
4.72000000,0.36324835,122.14286804
4.74000000,0.36324835,115.71428680
4.76000000,0.36324835,122.14286804
4.78000000,0.36324835,122.14286804
4.80000000,0.36324835,115.71428680
4.82000000,0.36324835,122.14286804
4.84000000,0.36324835,115.71428680
4.86000000,0.36324835,122.14286804
4.88000000,0.36324835,122.14286804
4.90000000,0.36324835,122.14286804
4.92000000,0.36324835,115.71428680
4.94000000,0.36324835,122.14286804
4.96000000,0.36324835,122.14286804
4.98000000,0.36324835,115.71428680
5.00000000,0.43750110,122.14286804
5.02000000,0.43750110,122.14286804
5.04000000,0.43750110,122.14286804
5.06000000,0.43750110,128.57144165
5.08000000,0.43750110,135.00000000
5.10000000,0.43750110,135.00000000
5.12000000,0.43750110,141.42857361
5.14000000,0.43750110,141.42857361
5.16000000,0.43750110,154.28572083
5.18000000,0.43750110,147.85716248
5.20000000,0.43750110,154.28572083
